producer,mill,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,overall,total_cup_points,moisture_percentage,quakers,color,altitude
racafe & cia sca,"racafé & cia s.c.a, km 5 vía pereira",colombia,unknown,washed / wet,7.67,7.75,7.67,7.75,7.67,7.67,7.67,83.83,11.9,1,green,1411.0
maria de los angeles perez,unknown,guatemala,"bourbon, caturra y catimor",natural / dry,7.58,7.83,7.67,7.67,7.67,7.67,7.75,83.83,10.8,0,green,1400.0
"valbros, s. a.","beneficio santa rita, s. a.",guatemala,bourbon,washed / wet,7.58,7.92,7.5,7.67,7.75,7.67,7.75,83.83,10.9,1,greenish,5272.5
sidama coffee farmers cooperative union,sidama coffee farmers cooperative union,ethiopia,ethiopian heirlooms,washed / wet,7.83,7.67,7.5,7.92,7.5,7.67,7.75,83.83,12.0,0,green,2000.0
regional producers,trilladora popayán,colombia,caturra,washed / wet,7.92,7.75,7.42,7.58,7.92,7.67,7.58,83.83,12.1,5,green,1700.0
isla custom coffees,aloha hills kona coffee,united states (hawaii),typica,washed / wet,7.67,7.92,7.58,7.58,7.58,7.75,7.75,83.83,11.8,3,green,500.0
oscar javier paez & family,la gallera,colombia,bourbon sidra,pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,7.58,83.75,10.6,0,greenish,1800.0
armando pohlenz,exportadora de cafe california,mexico,sarchimor,washed / wet,7.67,7.67,7.58,7.67,7.83,7.58,7.75,83.75,11.7,0,green,1200.0
,unknown,colombia,unknown,unknown,7.83,7.75,7.5,7.58,7.67,7.67,7.67,83.67,12.4,0,greenish,0.0
蘇甘永,yes,taiwan,sl34,washed / wet,7.67,7.67,7.75,7.75,7.5,7.67,7.67,83.67,10.0,0,bluish-green,1250.0
lim,aromatic,myanmar,"catimor,catuai,caturra,bourbon",natural / dry,7.83,7.83,7.67,7.58,7.58,7.58,7.58,83.67,10.2,1,pale-yellow,1400.0
羅以珊,恆珊農場,taiwan,unknown,pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,7.67,83.67,9.2,0,greenish,300.0
pedro turcios,"cafe organic marcala, s.a. (comsa)",honduras,parainema,natural / dry,7.67,7.67,7.58,7.75,7.67,7.67,7.67,83.67,11.1,2,pale-yellow,1470.0
彭文正,正源咖啡,taiwan,unknown,natural / dry,7.58,7.67,7.5,7.75,7.75,7.67,7.67,83.58,8.4,0,green,325.0
宋明光,宋明光	蝙蝠洞莊園	蝙蝠洞莊園,taiwan,typica,pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,7.67,83.58,9.1,0,green,275.0
san francisco cotzal,"inmobiliaria e inversiones dos mil, s. a.",guatemala,caturra,washed / wet,7.58,7.83,7.58,7.67,7.58,7.58,7.75,83.58,10.9,2,green,1600.0
comsa,beneficio seco,honduras,shg,washed / wet,7.75,7.67,7.58,7.58,7.58,7.67,7.67,83.5,11.2,1,green,1400.0
la fortaleza,trilladora pubenza,colombia,caturra,washed / wet,7.75,7.75,7.5,7.58,7.83,7.5,7.58,83.5,12.2,0,bluish-green,1700.0
doi tung development project,dry mill,thailand,bourbon,washed / wet,7.42,7.83,7.58,7.67,7.67,7.75,7.58,83.5,13.1,0,green,1390.0
yhaenu plc,guji coffee export p.l.c,ethiopia,ethiopian heirlooms,washed / wet,7.42,7.42,7.42,8.0,7.92,7.67,7.67,83.5,10.4,1,greenish,1700.0
chalerm,doi nan,thailand,java,washed / wet,7.67,7.67,7.5,7.67,7.58,7.67,7.67,83.42,11.6,2,green,1450.0
kawacom uganda ltd,kawacom,uganda,sl14,washed / wet,7.75,7.75,7.5,7.5,7.58,7.58,7.75,83.42,10.1,0,green,1650.0
吳昭昀,香香久溢咖啡莊園,taiwan,typica + sl34,washed / wet,7.75,7.92,7.67,7.92,7.75,7.83,7.92,83.42,10.1,0,blue-green,1100.0
kyagalanyi coffee limited,dry mill,uganda,sl14,washed / wet,7.75,7.67,7.58,7.5,7.67,7.5,7.67,83.33,11.1,0,green,1905.0
林士傑,四分子道,taiwan,typica,pulped natural / honey,7.58,7.67,7.5,7.75,7.5,7.58,7.75,83.33,9.7,0,greenish,250.0
500 producers,mi cafecito + agua santa la providencia + agua santa,guatemala,"marsellesa, catuai, caturra & marsellesa, anacafe 14, catuai",washed / wet,7.5,7.75,7.58,7.75,7.67,7.58,7.5,83.33,11.4,0,green,1302.5
簡進財,木華莊園,taiwan,typica,washed / wet,7.58,7.67,7.58,7.75,7.42,7.58,7.75,83.33,9.6,0,green,300.0
eric sellin,hulling facility,colombia,caturra,washed / wet,7.67,7.67,7.42,7.75,7.5,7.75,7.58,83.33,13.5,0,greenish,1100.0
martin gutierrez,beneficio montañas del diamante,costa rica,caturra,washed / wet,7.58,7.75,7.42,7.67,7.5,7.75,7.67,83.33,0.0,0,green,1850.0
陳善東,東泓咖啡莊園,taiwan,sl34,washed / wet,7.75,7.83,7.58,7.58,7.58,7.5,7.5,83.33,10.7,0,blue-green,750.0
doi tung development project,dry mill,thailand,typica,washed / wet,7.92,7.92,7.75,7.33,7.58,7.5,7.33,83.33,12.3,0,yellow-green,1400.0
dorman tanzania ltd,gourmet coffee mill,"tanzania, united republic of",bourbon,washed / wet,7.92,7.67,7.42,7.5,7.67,7.58,7.5,83.25,10.4,0,greenish,1550.0
ipanema agrícola sa,dry mill,brazil,mundo novo,natural / dry,7.58,7.5,7.5,7.83,7.67,7.5,7.67,83.25,11.6,0,green,950.0
林木青,棒棒有機農場,taiwan,unknown,washed / wet,7.75,7.75,7.58,7.67,7.42,7.5,7.58,83.25,9.6,0,green,1150.0
chucho bedoya,buenos aires,colombia,"red bourbon,caturra",anaerobico 1000h,7.67,7.67,7.58,7.67,7.58,7.58,7.5,83.25,10.9,0,brownish,1390.0
joaquin suazo,"comsa (cafe organic marcala, s.a)",honduras,lempira,washed / wet,7.67,7.75,7.67,7.58,7.5,7.58,7.5,83.25,10.5,0,bluish-green,1600.0
comsa,beneficio seco,honduras,catuai,washed / wet,7.75,7.58,7.58,7.58,7.5,7.58,7.67,83.25,11.3,1,green,1400.0
張新榮,蜜多莊園,taiwan,typica,natural / dry,7.75,7.75,7.5,7.75,7.5,7.42,7.5,83.17,9.7,0,greenish,250.0
翁召安,迎曦山丘,taiwan,unknown,washed / wet,7.67,7.67,7.5,7.58,7.58,7.5,7.67,83.17,11.8,0,blue-green,340.0
dao heuang group,dao heuang group,laos,catimor,natural / dry,7.67,7.75,7.33,7.67,7.58,7.5,7.58,83.08,11.8,0,brownish,1250.0
fausto nahun maldonado,cigrah,honduras,catuai,washed / wet,7.67,7.67,7.5,7.58,7.58,7.5,7.58,83.08,10.6,2,green,1368.0
omar acosta,cadexsa,honduras,catuai,washed / wet,7.75,7.58,7.58,7.58,7.58,7.5,7.5,83.08,9.6,0,green,1450.0
franklin dussan,neiva,colombia,caturra,washed / wet,8.0,7.67,7.42,7.58,7.58,7.42,7.33,83.0,13.1,0,bluish-green,1650.0
王維書,樹橋窩莊園,taiwan,typica,pulped natural / honey,7.5,7.67,7.58,7.58,7.5,7.5,7.58,82.92,8.9,0,blue-green,275.0
martin tequihuatle zepahua,"coatepec, veracruz",mexico,bourbon,washed / wet,7.75,7.5,7.42,7.67,7.58,7.5,7.5,82.92,11.9,0,green,1350.0
augusto torres,la argentina,colombia,typica gesha,washed / wet,7.58,7.5,7.5,7.67,7.58,7.5,7.58,82.92,11.5,1,greenish,1350.0
郭亮志,yes,taiwan,gesha,unknown,7.67,7.5,7.42,7.75,7.42,7.58,7.58,82.92,10.2,0,yellow-green,1200.0
varios,beneficio seco comsa,honduras,catuai,washed / wet,7.67,7.58,7.5,7.5,7.58,7.5,7.5,82.83,10.0,0,green,1280.0
doi tung development project,dry mill,thailand,gayo,washed / wet,7.17,7.92,7.58,7.5,7.58,7.67,7.42,82.83,11.8,0,yellow-green,1400.0
ea tan cooperative,simexco daklak ltd,vietnam,catimor,pulped natural / honey,7.58,7.42,7.58,7.5,7.67,7.75,7.33,82.83,13.3,0,green,900.0
exportadora atlantic s.a.,beneficio atlantic sébaco,nicaragua,shg,natural / dry,7.33,7.58,7.25,7.33,7.75,8.17,7.33,82.75,10.5,2,green,1200.0
various producers,micro mill,costa rica,sl28,pulped natural / honey,7.33,7.5,7.25,7.92,7.75,7.58,7.42,82.75,11.8,0,pale-yellow,1450.0
federación nacional de cafeteros de colombia,federación nacional de cafeteros de colombia,colombia,caturra,washed / wet,7.58,7.67,7.58,7.5,7.33,7.5,7.5,82.67,11.8,1,green,1700.0
doi tung development project,dry mill,thailand,caturra,washed / wet,7.33,7.58,7.58,7.5,7.67,7.67,7.33,82.67,13.0,0,greenish,1390.0
kevin wattana,dry mill,thailand,"bourbon, catimor, caturra, typica",natural / dry,7.5,7.58,7.5,7.42,7.5,7.58,7.58,82.67,11.2,0,yellow-green,1200.0
omar acosta,cadexsa,honduras,catuai,washed / wet,7.67,7.58,7.33,7.5,7.58,7.5,7.5,82.67,9.6,0,green,1450.0
吳聲發,銅鏡莊園,taiwan,unknow,natural / dry,7.67,7.67,7.42,7.42,7.42,7.5,7.5,82.58,9.8,0,green,165.0
謝櫞楨,掬香園,taiwan,caturra,washed / wet,7.67,7.58,7.42,7.42,7.5,7.5,7.5,82.58,8.4,0,blue-green,465.0
nicanola coffee,"compare coperativo condega, esteli, nicaragua",nicaragua,parainema,washed / wet,7.5,7.58,7.42,7.58,7.5,7.58,7.42,82.58,10.1,0,green,1350.0
"j.j. borja nathan, s.a.",agua caliente,el salvador,bourbon,washed / wet,7.67,7.33,7.17,7.67,7.83,7.5,7.33,82.5,11.3,0,green,1200.0
finca lerida,finca lerida,panama,caturra,washed / wet,7.75,7.67,7.17,7.67,7.42,7.42,7.42,82.5,10.0,0,green,1200.0
eduardo niero de souza,copag varginha,brazil,mundo novo,natural / dry,7.5,7.58,7.5,7.5,7.67,7.42,7.33,82.5,11.8,1,bluish-green,1100.0
kainaliu-kona coffee company,aloha hills kona coffee,united states (hawaii),maragogype,washed / wet,7.33,7.58,7.5,7.5,7.5,7.58,7.5,82.5,11.7,0,blue-green,640.0
jose cienfuegos,las trincheras,mexico,pacamara,washed / wet,7.67,7.42,7.5,7.5,7.67,7.42,7.33,82.5,10.7,0,pale-yellow,1340.0
fausto nahun maldonado,cigrah,honduras,catuai,washed / wet,7.58,7.58,7.33,7.5,7.58,7.42,7.5,82.5,10.6,0,green,1368.0
胡明杰,弘欣咖啡園,taiwan,unknown,washed / wet,7.42,7.42,7.58,7.42,7.58,7.5,7.58,82.5,8.4,0,green,139.0
sabio coffee - enrique ferrufino & tania ferrufino,beneficio seco finca aurora,nicaragua,caturra-catuai,washed / wet,7.58,7.58,7.42,7.42,7.5,7.5,7.42,82.42,11.4,0,bluish-green,1275.0
"yeh,li chuan",dry mill,vietnam,catimor,washed / wet,7.5,7.5,7.33,7.5,7.5,7.42,7.58,82.33,10.5,0,bluish-green,1040.0
"j.j. borja nathan, s.a.",agua caliente,el salvador,bourbon,washed / wet,7.5,7.5,7.42,7.42,7.42,7.67,7.42,82.33,12.0,7,green,1200.0
